Owner1,Owner2,SiteAddress,MailAddress,MailCity,APN,LastSeller,LastSaleDate,LastSaleValue
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 7C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-06,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 8C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-07,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 9C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-08,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 10C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-09,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 12C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-11,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 13C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-12,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 14C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-13,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 15C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-14,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2210 NEWPORT BLVD # 16C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-15,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2260 NEWPORT BLVD # 30C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-20,"VUE INVESTOR OWNER LLC,",03/27/2019,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2260 NEWPORT BLVD # 31C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-21,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2280 NEWPORT BLVD # 1C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-29,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2280 NEWPORT BLVD # 2C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-30,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2280 NEWPORT BLVD # 3C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-31,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2280 NEWPORT BLVD # 4C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-32,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2280 NEWPORT BLVD # 5C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-33,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2230 NEWPORT BLVD # 25C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-38,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2230 NEWPORT BLVD # 26C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-39,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2240 NEWPORT BLVD # 28C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-45,"VUE INVESTOR OWNER LLC,",03/13/2019,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2250 NEWPORT BLVD # 29C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-48,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2220 NEWPORT BLVD # 17C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-49,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2220 NEWPORT BLVD # 18C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-50,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2220 NEWPORT BLVD # 19C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-51,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2220 NEWPORT BLVD # 20C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-52,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2220 NEWPORT BLVD # 21C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-53,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2220 NEWPORT BLVD # 22C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-54,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2220 NEWPORT BLVD # 23C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-55,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2220 NEWPORT BLVD # 24C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-56,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2270 NEWPORT BLVD # 32C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-59,"VUE INVESTOR OWNER LLC,",,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2270 NEWPORT BLVD # 33C,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-60,"VUE INVESTOR OWNER LLC,",,0.0
PPF INDUSTRIAL 5800-5900 SKYLAB ROAD LLC,,5800 SKYLAB RD,3501 JAMBOREE RD STE 100,NEWPORT BEACH,195-112-13,"DCS HOLDINGS INC,",03/23/2012,0.0
PPF INDUSTRIAL 5900 SKYLAB ROAD LLC,,5900 SKYLAB RD,3501 JAMBOREE RD STE 100,NEWPORT BEACH,195-112-17,"PPF INDUSTRIAL 5800 SKYLAB ROAD LLC, ; PPF INDUSTRIAL 5800-5900 SKYLAB ROAD LLC,",03/23/2012,0.0
COSTA MESA MINI VENTURE LLC,,14528 EDWARDS ST,660 NEWPORT CENTER DR STE 1450,NEWPORT BEACH,195-461-01,"SOUTHDOWN CONCRETE PRODUCTS INC,",07/19/1999,0.0
ASHWILL METZLER LANE LLC,,17651 METZLER LN,130 NEWPORT CENTER DR STE 200,NEWPORT BEACH,165-392-25,"ASHWILL, ELLWIN E; ASHWILL, ALICE R",04/25/2008,0.0
HUNTINGTON BEACH INDUSTRIAL PROPERTIES LLC,,15341 PIPELINE LN,1608 BALBOA AVE,NEWPORT BEACH,145-537-07,"MEDINA PROPERTIES LLC,",10/20/2023,0.0
M2 MARMONT LLC,,17842 SAMPSON LN,810 W BAY AVE,NEWPORT BEACH,165-261-56,"VAN DOREN, DEAN G; THE ROBERT VAN DOREN TRUST,",,0.0
THE MACNAB LLC,,7511 CLAY AVE,219 E BAY FRONT,NEWPORT BEACH,159-321-10,"MACNAB, MARTHA; THE MARTHA MACNAB SEPARATE PROPERTY TRUS,",,0.0
HUNTINGTON VALLEY INDUSTRIAL CENTER LLC,,18342 GOTHARD ST,3835 BIRCH ST,NEWPORT BEACH,159-211-11,"HUNTINGTON VALLEY INDUSTRIAL CENTER,",,0.0
THE MACNAB LLC,,19151 HUNTINGTON ST,219 E BAY FRONT,NEWPORT BEACH,159-321-11,"MACNAB, MARTHA; THE MARTHA MACNAB SEPARATE PROPERTY TRUS,",,0.0
AIRWAY LLC,,3134 AIRWAY AVE,PO BOX 4050,NEWPORT BEACH,938-980-40,"BUTLER, REX; BUTLER, KAREN",04/05/2017,0.0
CLINTON AVE LLC,,384 CLINTON ST # 3,1111 QUAIL ST,NEWPORT BEACH,936-790-10,"LUCAS, ROBERT J; R & J LUCAS LIVING TRUST Q,",04/27/2005,0.0
CM17 PROPERTIES LLC,,785 W 17TH ST STE A,4100 NEWPORT PLACE DR STE 810,NEWPORT BEACH,939-831-35,"LYONS, CRAIG N; LYONS, GRETCHEN S",10/11/2007,0.0
CM17 PROPERTIES LLC,,785 W 17TH ST STE B,4100 NEWPORT PLACE DR STE 810,NEWPORT BEACH,939-831-36,"MESA PLACENTIA 17 LP, ; INVESTMENT PROPERTY OPTIONS LLC,",03/17/2010,0.0
SK 711 PROPERTIES LLC,,711 W 17TH ST # 10,336 VIA LIDO NORD,NEWPORT BEACH,939-830-10,"LONGEROT, KEITH E; LONGEROT, SUSAN MARIE",,0.0
SK 711 PROPERTIES LLC,,711 W 17TH ST # 11,336 VIA LIDO NORD,NEWPORT BEACH,939-830-11,"LONGEROT, KEITH E; LONGEROT, SUSAN MARIE",10/26/1998,0.0
CRAP ON WEST 17TH LLC,,711 W 17TH ST # 35,406 BELVUE LN,NEWPORT BEACH,939-830-35,"FOSTER, JOHN D; FOSTER, ANGELA L",05/21/2007,0.0
CRAP ON WEST 17TH LLC,,711 W 17TH ST # 36,406 BELVUE LN,NEWPORT BEACH,939-830-36,"FOSTER, JOHN D; FOSTER, ANGELA L",05/21/2007,0.0
711 W 17TH ST UNITS D2 & D3 LLC,,711 W 17TH ST # 47,1203 N BAY FRONT,NEWPORT BEACH,939-830-47,"HANSEN, PATRICIA J",06/22/2007,0.0
MACARTHUR GROUP LLC,,4932 EDINGER AVE,4040 MACARTHUR BLVD # 250,NEWPORT BEACH,178-071-21,"EQUILON ENTERPRISES LLC,",06/07/2013,0.0
PENINSULA VILLAGE LLC, OSF NB LLC,2300 NEWPORT BLVD # P1,220 NEWPORT CENTER DR # 11-557,NEWPORT BEACH,932-713-61,"VUE INVESTOR OWNER LLC,",,0.0
AREJ BLUESAILS LLC,,7092 BLUESAILS DR,10 CHATELAINE,NEWPORT COAST,142-352-05,"LIN, ALEXANDER MING RAY; LEE, RITA",09/20/2021,0.0
BRIDGE INTEGRATION LLC,,9171 WARFIELD DR,1 COTTONWOOD,NEWPORT COAST,153-262-07,"BROOKE, MARLO; THE BROOKE FAMILY TRUST,",10/29/1999,0.0
BBSUPER LLC,,6661 SUN DR UNIT C,33 BRIDGEPORT RD,NEWPORT COAST,932-240-64,"SUPER, GREG; SUPER, SALLIE JANE SCHNEIDER",,0.0
COVE CAPITAL LLC,,2230 PACIFIC AVE APT B,172 SIDNEY BAY DR,NEWPORT COAST,935-840-25,"FLOCK, RICHARD E; THE RICHARD FLOCK TRUST,",,0.0
COVE CAPITAL LLC,,2230 PACIFIC AVE APT C,172 SIDNEY BAY DR,NEWPORT COAST,935-840-26,"FLOCK, RICHARD E; THE RICHARD FLOCK TRUST,",,0.0
COVE CAPITAL LLC,,2230 PACIFIC AVE APT D,172 SIDNEY BAY DR,NEWPORT COAST,935-840-27,"FLOCK, RICHARD E; THE RICHARD FLOCK TRUST,",,0.0
COVE CAPITAL LLC,,2230 PACIFIC AVE,172 SIDNEY BAY DR,NEWPORT COAST,935-840-28,"FIOCK, RICHARD E; RICHARD FIOCK TRUST,",,0.0
BANG FINANCIAL INVESTMENTS LLC,,323 FORD RD,34 BARGEMON,NEWPORT COAST,938-653-06,"WALSH, JEFFREY A; WALSH, JACQUELINE L",,0.0
GRETEL LLC,,8 GRETEL CT # 125,21163 NEWPORT COAST DR # 1024,NEWPORT COAST,932-511-25,"SIMONOFF, JESSICA; SCHELL, JESSICA",02/01/2002,0.0
BW & ASSOCIATES LLC,,1200 RUTLAND RD # 25,2 PACIFIC WINDS,NEWPORT COAST,934-180-25,"GODBER, DAVID S; THE DAVID S GODBER TRUST,",09/02/2022,0.0
VILLA POINT 370 LLC,,370 VILLA POINT DR,21163 NEWPORT COAST DR # 153,NEWPORT COAST,939-636-14,"PURCELL, MICHAEL J; PURCELL, RITA M",03/23/2022,0.0
CAMELI INVESTMENTS LLC,,48 TALMONT,23 SPINNAKER,NEWPORT COAST,934-331-21,"FATERI, FARDAD; FATERI, FARNAZ",04/25/2011,0.0
HBWM LLC,,17432 DAIRYVIEW CIR,20 CRUISERS BLF,NEWPORT COAST,165-241-26,"CHING, PHILIP T; CHING, BEVERLY S",07/07/2004,0.0
7892 NEWMAN AVENUE LLC,,7892 NEWMAN AVE,26 SIDRA CV,NEWPORT COAST,165-301-16,"MERAGE, VIKI",03/20/2018,0.0
20001 BEACH BLVD LLC,,20001 BEACH BLVD,28 STILL WATER,NEWPORT COAST,025-143-10,"KASHANI DR DDS, MAJID",04/12/2013,0.0
18112 GOTHARD LLC,,18112 GOTHARD ST,9 MARCIANA ST,NEWPORT COAST,159-201-33,"18112 GOTHARD LLC,",11/15/2011,0.0
615 15TH STREET LLC,,615 15TH ST,720 SEDLEY RD,NOLENSVILLE,023-144-23,"THE WANG FAMILY TRUST, ; WANG, JACKSON",09/23/1998,0.0
4821 PEARCE LLC,,4821 PEARCE DR,720 SEDLEY RD,NOLENSVILLE,178-201-54,"THE WANG FAMILY TRUST, ; WANG, JACKSON",05/01/2015,0.0
ROCCO 31 LLC,,16856 BAYVIEW DR,2078 2ND ST,NORCO,178-532-15,"FLORES, JAIME J; FLORES, ANNA L",07/31/2014,0.0
OCEANVIEW WEST LLC,,656 WEDGE,2211 SANTA ANITA RD,NORCO,930-617-29,"BOSCHMA, ALISA G",,0.0
DG SAND DOLLAR PROPERTIES LLC,,5025 RIVER AVE # 2,2211 SANTA ANITA RD,NORCO,930-614-55,"BOSCHMA, ALISA G",09/14/2018,0.0
HUNTINGTON BEACH 4 PLEX LLC,,7802 HOLT DR APT C,PO BOX 422,NORCO,142-091-01,"DOWELL, MARY K",,0.0
THREE COASTS GROUP LLC,,5005 SEASHORE DR # A,PO BOX 1284,NORTH HOLLYWOOD,930-614-64,"TRI GLOBAL GROUP LLC,",,0.0
THREE COASTS GROUP LLC,,5005 SEASHORE DR # B,PO BOX 1284,NORTH HOLLYWOOD,930-614-65,"TRI GLOBAL GROUP LLC,",,0.0
FRANKENFIELD INVESTMENTS LLC,,7582 RHINE DR,10831 SKYLINE DR,NORTH TUSTIN,142-155-04,"FRANKENFIELD, RALPH MICHAEL; FRANKENFIELD, TAMI LEE",01/07/2005,0.0
MECII-9 LLC,,2297 PACIFIC AVE,18331 E SANTA CLARA AVE,NORTH TUSTIN,931-170-31,"BUSWELL JR, HOWARD",10/09/2015,0.0
MISSYONE INVESTMENTS LLC,,814 W BALBOA BLVD # 1,18961 CASTLEGATE LN,NORTH TUSTIN,936-080-03,"CEFALIA JR, JOSEPH",02/18/1999,0.0
MISSYONE INVESTMENTS LLC,,814 W BALBOA BLVD # 2,18961 CASTLEGATE LN,NORTH TUSTIN,936-080-04,"CEFALIA JR, JOSEPH",,0.0
JBH LLC,,711 W 17TH ST # 19,18331 E SANTA CLARA AVE,NORTH TUSTIN,939-830-19,"B L FUND I PARTNERS A GENERAL PARTNERSHI,",03/16/2000,0.0
EYC & HJC LLC,,3121 W COAST HWY APT 5B,19241 HARNETT ST,NORTHRIDGE,930-502-14,"CURUKCUYAN, YERVANT EDWARD; CURUKCUYAN, HASMIK JASMAN",05/10/2021,0.0
GREEN FOUR LLC,,16961 GREEN LN,126 SANTA MARIA DR,NOVATO,178-262-11,"EXCLUSIVE MANAGEMENT LLC,",,0.0
PETRUNA PROPERTIES LLC,,20935 SAILMAKER CIR,1250 MOHAWK TRL,OHATCHEE,024-301-27,"PETRUNA, PAUL F; PETRUNA, KATHY K",,0.0
BEAR UNION LLC,,5932 LIEGE DR,2046 S OAKS AVE,ONTARIO,163-073-12,"HWANG, TAIPING; HUEY, CHIAN LI",09/30/2014,0.0
920 CALIFORNIA ST LLC,,920 CALIFORNIA ST,5054 W MISSION BLVD,ONTARIO,025-104-07,"JABER, MEHDI AYAD",07/30/2025,0.0
JSLB RE VENTURES 2 LLC,,607 E BALBOA BLVD APT A,3105 E GUASTI RD STE 100,ONTARIO,932-160-36,"LABARGE, JOSHUA PETER; LABARGE, SHEILA RENEA",07/18/2013,0.0
AZURE COAST LLC,,124 16TH ST,625 N EUCLID AVE,ONTARIO,023-168-01,"RUIZ, RUBEN; COWDEN FAMILY TRUST,",,0.0
PRIME HEALTHCARE HUNTINGTON BEACH LLC,,17772 BEACH BLVD,3480 E GUASTI RD # 3RD,ONTARIO,167-601-14,"MPT OF HUNTINGTON BEACH LP,",12/28/2012,0.0
PRIME HEALTHCARE HUNTINGTON BEACH LLC,,17772 BEACH BLVD,3300 E GUASTI RD STE 300,ONTARIO,167-601-03,"MPT OF HUNTINGTON BEACH LP,",12/28/2012,0.0
PRIME HEALTHCARE HUNTINGTON BEACH LLC,,17772 BEACH BLVD,3300 E GUASTI RD STE 300,ONTARIO,167-601-15,"MPT OF HUNTINGTON BEACH LP,",12/28/2012,0.0
SLL PALMERA LLC,,5241 BLACKPOOL RD,5515 E AVENIDA PALMAR,ORANGE,195-411-60,"LUNDGREN, SHARON L; SHARON L LUNDGREN SEPARATE PROPERTY TRUS,",01/27/2009,0.0
HORIZON CAPITAL HOLDINGS LLC, TRAN HOME IMPROVEMENT LLC,15431 LA SALLE LN,722 W CULLY DR,ORANGE,145-161-08,"AN HOME U S LLC,",04/08/2026,0.0
KINDKEYS LLC,,7242 JUDSON AVE,1110 W TOWN AND COUNTRY RD,ORANGE,142-302-30,"PHAM, PETER XUAN; PHAM, CHRISTINE XUAN",12/27/2023,0.0
DEL JUNCO CHILDRENS INVESTMENT LLC,,16592 SOMERSET LN,1140 W LA VETA AVE STE 520,ORANGE,178-411-01,"DEL JUNCO, PATRICIA MARSHALL",10/12/2004,0.0
MAESHIRO LIVING LLC,,18240 S 3RD ST,1100 N PALO LOMA PL,ORANGE,157-131-14,"MAESHIRO, VICTOR; MAESHIRO, NANCY PATRICIA RODRIGUEZ",06/05/2007,0.0
THIERJUNG PAGEANT LLC,,6711 PAGEANT DR,10861 ORANGE PARK BLVD,ORANGE,110-461-42,"THIERJUNG, THERESA; THIERJUNG, RICHARD EDWARD",02/26/1998,0.0
77 BROAD STREET LLC,,313 HUNTINGTON ST,6833 E OAK LN,ORANGE,024-202-03,"PARK CENTER EXCHANGE I LLC,",07/19/2007,0.0
BUCK RIVERS HOLDINGS LLC,,4828 RIVER AVE,832 N LEMON ST,ORANGE,114-211-37,"LEMON HOLDINGS LLC,",12/20/2013,0.0
JGS SOCAL2 LLC,,12300 MONTECITO RD APT 26,442 S EAGLES PT,ORANGE,932-030-27,"SCHWARTZ FAMILY TRUST, ; SCHWARTZ, GREGORY DAVID STANLEY",02/10/2021,0.0
MON SOLEIL LLC,,16291 COUNTESS DR UNIT 105,705 S CAMBRIDGE ST,ORANGE,937-630-90,"PEREZ, GEORGE Y; PEREZ, AVIGAEL",02/20/2018,0.0
TNTP INVESTMENT LLC,,12205 CHAPMAN AVE # 12,1535 E ILA DR,ORANGE,933-360-12,"LE, THOMAS; LE, PATTY N",01/22/2019,0.0
IC & KY LLC,,12668 CHAPMAN AVE UNIT 2009,6303 E CEDARBROOKS RD,ORANGE,936-191-59,"WANG, I CHEN; WANG, KUANG YING LUO",05/30/2014,0.0
10 KAMALII LLC,,10 KAMALII CT # 269,1927 N GLASSELL ST,ORANGE,932-582-69,"CIRKS, KENNETH D; CIRKS, KATHLEEN L",05/03/2024,0.0
50 CORPORATE PARK PARTNERS LLC,,210 PORTLAND AVE,3024 E CHAPMAN AVE # 255,ORANGE,025-042-23,"NICOLL, JAMES COWAN",10/17/2019,0.0
1703 CALIFORNIA STREET LLC,,1703 CALIFORNIA ST,1551 E CONCORD AVE,ORANGE,025-088-03,"1703 CALIFORNIA STREET LLC, ; 2648 23RD STREET LLC,",09/09/2021,0.0
HB OCEANSIDE 2018 LLC,,311 14TH ST,8502 E CHAPMAN AVE,ORANGE,024-024-15,"GRIEDER, CURTIS P; CURTIS P GRIEDER TRUST,",05/23/2018,0.0
VQN PLAZA LLC,,14022 EDWARDS ST,2510 N LA COLINA CT,ORANGE,195-303-41,"NGUYEN, VANESSA QUYNH",06/25/2002,0.0
SURF CITY LLC,,19731 BEACH BLVD,PO BOX 1,ORANGE,025-191-43,"NELSON, STEVEN A; STEVEN A NELSON TRUST,",03/19/1999,0.0
SECOND CLOUD LLC,,21572 BROOKHURST ST,4736 E STETSON LN,ORANGE,149-321-16,"FENTON, KATHLEEN H",,0.0
WARNER DEL PROPERTY LLC,,5856 WARNER AVE,633 W KATELLA AVE STE H,ORANGE,163-080-08,"CJR RESTAURANTS INC,",11/03/2021,0.0
D2WLE LLC,,19202 BEACH BLVD,1400 N TUSTIN ST,ORANGE,153-041-15,"WILSON, DAVID W; DAVID W WILSON TRUST,",06/14/2005,0.0
5642-5662 BUCKINGHAM DR LLC,,5642 BUCKINGHAM DR,1050 W KATELLA AVE STE J,ORANGE,145-542-09,"ANTOYAN, ALLEN; ANTOYAN, TONI JEAN",06/16/2010,0.0
5642-5662 BUCKINGHAM DR LLC,,5662 BUCKINGHAM DR,1050 W KATELLA AVE STE J,ORANGE,145-542-10,"AZNTOVAN, ALLEN; AZNTOVAN, TONI",12/22/1994,0.0
ANTOYAN COMPANIES LLC,,5622 BUCKINGHAM DR,1050 W KATELLA AVE STE J,ORANGE,145-542-08,"ANTOYAN JR, ALLEN; ANTOYAN, ADAM",01/07/2019,0.0
5502 ENGINEER DR LLC,,5502 ENGINEER DR,1050 W KATELLA AVE STE J,ORANGE,145-543-01,"ANTOYAN, ALLEN; ANTOYAN, TONI JEAN",12/29/2004,0.0
JAMES PROPERTY GROUP LLC,,5481 COMMERCIAL DR,8247 E HILLSDALE DR,ORANGE,145-482-09,"CHEYENNE LLC,",,0.0
JAMES PROPERTY GROUP LLC,,15622 CHEMICAL LN,8247 E HILLSDALE DR,ORANGE,145-461-13,"CHEYENNE LLC,",,0.0
TB THE TWINS LLC,,7425 LAMPSON AVE,6022 E JACK PINE LN,ORANGE,936-751-57,"PHAM, BAY VAN; TON, TRANG",01/26/2017,0.0
TB THE TWINS LLC,,7427 LAMPSON AVE,6022 E JACK PINE LN,ORANGE,936-751-58,"PHAM, BAY VAN; TON, TRANG",01/26/2017,0.0
QCHI LLC,,12620 WESTMINSTER AVE # 3A,2130 N PAMI CIR,ORANGE,938-691-12,"NGUYEN, DUC; NGUYEN PHUOC REVOCABLE LIVING TRUST,",11/21/2018,0.0
TOLLGATE PARTNERS LLC,,19896 SHEFFIELD LN,16 OAK RIDGE LN,ORINDA,153-404-18,"DICK, JOHN MATHES; DICK FAMILY TRUST,",,0.0
TOLLGATE PARTNERS LLC,,9599 KENSINGTON DR,16 OAK RIDGE LN,ORINDA,153-404-13,"DICK, JOHN MATHES; DICK FAMILY TRUST,",,0.0
TOLLGATE PARTNERS LLC,,8877 LAUDERDALE CT # 98,16 OAK RIDGE LN,ORINDA,933-520-98,"DICK, JOHN MATHES; DICK FAMILY TRUST,",07/08/2009,0.0
GPM 509 LLC,,509 11TH ST,636 EAGLE WATCH LN,OSPREY,024-018-26,"MAZAN, ADAM; MAZAN, LISA",07/09/2018,0.0
CITY RANCH INVESTMENTS LLC,,1402 ARROW LN,89 ALAFAYA WOODS BLVD # 159,OVIEDO,025-152-78,"DONATO, FRANK; DONATO, CYNDEE",09/06/2012,0.0
MILLER BOLSA CHICA LLC,,15302 BOLSA CHICA ST,15441 ALBRIGHT ST,PACIFIC PALISADES,145-015-01,"ZOLAN, JUDITH MILLER; THE MILLER TRUST,",,0.0
GOETHEPLATZ MANAGEMENT LLC,,9 CANYON ISLAND DR,525 VISTA FLORA,PALM DESERT,934-310-09,"GENTRY, SIMINA",07/22/2021,0.0
530 13TH STREET LLC,,530 13TH ST,853 ALMA ST,PALO ALTO,024-017-01,"SCHWAB, DAVID C; THE DAVID C SCHWAB TRUST,",06/13/2016,0.0
MICKEY MURRAY LLC,,19271 HICKORY LN,27514 FAWNSKIN DRIVE,PALOS VERDES,153-132-23,"NORTH, THOMAS M",,0.0
ALBATROSS DR PROPERTY LLC,,8781 ALBATROSS DR,2725 PALOS VERDES DR W,PALOS VERDES ESTATES,153-211-02,"VU, DENNIS; TRUONG, JENNIFER HANG B",11/28/2018,0.0
BYARD FAMILY LLC,,20301 BLUFFSIDE CIR # D206,128 VIA LAS VEGAS,PALOS VERDES ESTATES,936-179-11,"BYARD, MICHAEL; BYARD, KRISTEN LYNN",06/30/2004,0.0
MSWB JEONG FAMILY LLC,,18959 MAGNOLIA ST,4013 VIA CARDELINA,PALOS VERDES ESTATES,157-464-33,"JEONG, MOON S; JEONG, STANLEY",12/23/2010,0.0
MADHB LLC,,5700 SKYLAB RD,1345 VIA CORONEL,PALOS VERDES ESTATES,195-111-21,"DAHLGREN, WILLIAM R; DAHLGREN, AUDREY J",,0.0
PENSIN LLC,,17 CALVADOS,4233 CARTESIAN CIR,PALOS VERDES PENINSULA,936-463-50,"AHMADI, MIKE MOHAMMAD",02/14/2025,0.0
4 TUNSTALL LLC,,16691 TUNSTALL LN,PO BOX 2217,PALOS VERDES PENINSULA,142-413-08,"HOSHIJO, LOIS S",06/17/2020,0.0
16513 HARBOUR LANE LLC,,16513 HARBOUR LN # 27,285 PALMETTO DR,PASADENA,931-400-59,"JERVEY, ANNIE A; FIGURE, MONA",,0.0
DAIBO REALTY LLC,,7442 COHO DR UNIT 104,511 S MARENGO AVE,PASADENA,937-153-64,"KUWADA, CYNTHIA; KUWADA, MARGARET",06/10/2004,0.0
PADDINGTON INVESTMENTS LLC,,21372 BROOKHURST ST UNIT 427,982 GLEN OAKS BLVD,PASADENA,935-820-69,"JAHINA, KARL; JAHINA, BIRGIT U",07/16/2008,0.0
SEER HOLDINGS LLC,,4 VEROLI CT,830 GAINSBOROUGH DR,PASADENA,935-342-97,"KARAGIAS, CHRISTINA A; ROULAKIS, STEVEN NICHOLAS",10/21/2022,0.0
AGARWALA REAL ESTATE LLC,,18 TALMONT,3935 E CALIFORNIA BLVD,PASADENA,934-331-32,"AGARWALA, AAKASH; AGARWALA, TARLA",09/18/2012,0.0
DAIBO REALTY LLC,,17712 CAMERON LN,511 S MARENGO AVE,PASADENA,167-471-23,"KUWADA, CYNTHIA; KUWADA, MARGARET",03/15/2011,0.0
DAIBO REALTY LLC,,18942 DELAWARE ST,511 S MARENGO AVE,PASADENA,159-121-39,"KUWADA, CYNTHIA; KUWADA, MARGARET",,0.0
DAIBO REALTY LLC,,18962 DELAWARE ST,511 S MARENGO AVE,PASADENA,159-121-40,"KUWADA, CYNTHIA; KUWADA, MARGARET",09/28/2011,0.0
21502 BROOKHURST STREET LLC,,21502 BROOKHURST ST,20 N RAYMOND AVE STE 250,PASADENA,149-321-03,"LEE, MARY G",03/16/2017,0.0
PACIFIC 360 LLC,,609 E BALBOA BLVD APT A,1515 E COLORADO BLVD,PASADENA,932-160-38,"PASTUIA, NATALIE MARIE",05/02/2014,0.0
BONNELL INVESTMENT GROUP LLC,,1311 HUNTINGTON ST,3314 CHAPEL CREEK DR,PERRYSBURG,025-044-21,"BONNELL, BRENT",07/10/2020,0.0
